Seconds,Population,Lifespan,Size,Speed,Food,Framerate
0.0,1.0,60.0,12.0,50.0,10.0,7.920792
5.0,1.0,60.0,12.0,50.0,40.0,21.91235
10.0,1.0,60.0,12.0,50.0,59.0,23.762377
15.0,1.0,60.0,12.0,50.0,88.0,23.785927
20.0,1.0,60.0,12.0,50.0,107.0,27.559055
25.0,1.0,60.0,12.0,50.0,127.0,24.67917
30.0,2.0,54.46241,11.495312,48.912655,155.0,29.910269
35.0,2.0,54.46241,11.495312,48.912655,173.0,27.916252
40.0,2.0,54.46241,11.495312,48.912655,195.0,31.840796
45.0,2.0,54.46241,11.495312,48.912655,213.0,26.973026
50.0,4.0,54.462406,11.495312,43.97724,232.0,22.749752
55.0,4.0,54.462406,11.495312,38.75953,247.0,26.865671
60.0,3.0,52.616547,11.327083,48.550205,271.0,26.973026
65.0,3.0,52.616547,11.327083,48.062836,289.0,29.97003
70.0,3.0,54.214813,11.448475,49.496765,312.0,24.875622
75.0,4.0,55.66111,11.586356,49.622574,322.0,21.890547
80.0,4.0,55.66111,11.586356,49.622574,345.0,24.875622
85.0,5.0,54.31385,11.46721,49.263123,354.0,23.59882
90.0,5.0,54.31385,11.46721,45.297157,375.0,20.895523
95.0,7.0,55.041267,11.527263,42.441242,377.0,24.925224
100.0,7.0,56.623436,11.671461,46.107903,389.0,24.900398
105.0,7.0,56.623436,11.671461,43.122776,386.0,28.543306
110.0,8.0,56.07096,11.374718,50.454933,402.0,29.52756
115.0,9.0,55.8097,11.372504,37.1632,402.0,28.97103
120.0,9.0,56.99019,11.627503,45.847137,416.0,28.942116
125.0,9.0,56.45743,11.58704,47.01948,413.0,3.9800994
130.0,9.0,56.45743,11.58704,41.96718,418.0,22.840118
135.0,11.0,55.056595,11.635534,47.5051,412.0,20.812685
140.0,10.0,55.410263,11.733774,48.11393,407.0,22.817461
145.0,13.0,55.540905,11.838216,37.151035,397.0,23.85686
150.0,11.0,55.556965,12.063773,41.60172,398.0,21.782179
155.0,12.0,52.65578,11.647185,49.171505,384.0,27.586206
160.0,12.0,52.65578,11.647185,45.273167,377.0,24.975025
165.0,14.0,54.270054,11.498401,46.148415,352.0,22.931206
170.0,17.0,52.188423,11.8312235,44.512234,354.0,27.888447
175.0,17.0,53.768375,12.017733,45.079998,334.0,27.805363
180.0,16.0,55.015736,11.7284565,44.109917,320.0,26.919243
185.0,17.0,54.06688,11.718207,49.839466,298.0,22.682446
190.0,19.0,54.56911,11.958443,49.037342,283.0,23.880596
195.0,24.0,55.12823,12.013064,46.289658,263.0,18.264841
200.0,26.0,55.84916,12.00893,42.367413,232.0,23.552502
205.0,24.0,55.75244,11.830356,42.952286,230.0,23.64532
210.0,24.0,56.26238,11.752038,40.093792,219.0,25.615763
215.0,26.0,56.844,11.8932,45.253452,210.0,21.91235
220.0,28.0,56.981262,11.7538595,43.149258,191.0,19.743336
