Seconds,Population,Lifespan,Size,Speed,Food,Framerate,Hunger
105.0,10.0,60.0,11.0,50.0,119.0,22.954092,0.12373954
110.0,10.0,60.0,11.0,50.0,120.0,18.962076,0.34190643
115.0,13.0,59.800835,11.531231,49.83274,126.0,21.978022,0.43877357
120.0,4.0,61.133385,12.713612,49.117863,144.0,21.956087,0.6379418
125.0,1.0,72.3216,10.436695,54.883675,164.0,22.954092,0.61352754
130.0,10.0,60.042614,11.526418,50.876583,176.0,20.958084,0.48350573
135.0,2.0,51.05337,11.016668,48.5007,195.0,22.977022,0.5350883
140.0,2.0,43.12427,9.791126,49.954693,213.0,22.954092,0.22690225
145.0,2.0,38.000477,8.737311,42.134354,229.0,21.956087,0.32926995
150.0,3.0,38.804157,8.666598,44.0629,248.0,22.977022,0.39801002
155.0,3.0,40.411526,8.525173,47.920002,265.0,21.956087,0.4851923
160.0,10.0,44.71742,10.125392,52.03231,280.0,22.954092,0.040830493
165.0,16.0,45.039494,10.595545,52.31952,273.0,19.96008,0.5418626
170.0,7.0,42.5928,10.915095,49.2908,282.0,20.979021,0.32622385
175.0,11.0,42.700684,11.013365,47.506126,288.0,20.979021,0.37284786
180.0,19.0,39.698334,11.398278,46.797596,286.0,18.981018,0.38002115
185.0,28.0,33.112236,11.429685,46.759678,260.0,17.982018,0.37112015
190.0,41.0,33.367653,12.097485,44.882637,234.0,16.966068,0.41903186
195.0,50.0,32.30731,12.725144,42.604523,217.0,15.984016,0.44142228
200.0,45.0,31.915983,12.517902,44.219345,195.0,15.984016,0.5453162
205.0,32.0,31.447826,12.576966,43.689068,190.0,15.984016,0.4587794
210.0,20.0,34.410744,11.696993,42.309887,190.0,0.0,0.880803
215.0,15.0,30.594608,10.8482485,43.023243,190.0,27.972029,0.25240326
220.0,14.0,31.250616,11.749425,44.157265,189.0,25.974026,0.22281533
225.0,14.0,30.355835,11.532121,44.307777,192.0,25.948103,0.4038763
230.0,18.0,29.350615,11.851363,44.264202,194.0,23.952095,0.35560566
235.0,19.0,28.174236,12.16285,44.43426,199.0,24.975025,0.44617975
240.0,20.0,29.1006,12.439176,44.66866,201.0,22.977022,0.5270183
245.0,18.0,30.67028,12.215509,43.340214,204.0,25.974026,0.6396744
250.0,11.0,31.87675,12.489936,42.73805,207.0,26.946108,0.61430454
255.0,11.0,32.37595,13.487914,43.557236,209.0,27.94411,0.5794822
260.0,8.0,34.187637,14.521723,43.209953,212.0,26.89243,0.4056843
265.0,8.0,31.143353,14.4837265,43.154846,216.0,28.97103,0.5530933
270.0,8.0,34.281635,14.514112,40.133495,218.0,27.94411,0.43489146
275.0,6.0,36.292458,15.114329,39.602783,222.0,27.94411,0.39687634
280.0,8.0,35.640156,15.367701,40.117207,223.0,27.972029,0.4819008
285.0,7.0,34.922592,16.267033,40.49828,224.0,28.942116,0.27344322
290.0,7.0,36.45084,15.899225,40.400295,228.0,28.97103,0.3058768
295.0,8.0,39.929527,16.281345,38.077236,233.0,28.942116,0.32277322
300.0,10.0,39.429333,16.464668,38.07219,229.0,27.94411,0.29527545
305.0,12.0,41.279213,16.302382,38.45412,233.0,27.94411,0.3844778
310.0,14.0,40.696796,16.527523,38.274136,236.0,26.973026,0.38330793
315.0,18.0,39.034466,16.136827,39.061237,241.0,25.948103,0.32274896
320.0,18.0,39.034466,16.13683,39.061237,239.0,24.975025,0.40074575
325.0,18.0,38.34038,15.890111,38.903713,239.0,25.974026,0.3896562
330.0,22.0,37.82902,16.194603,39.109177,238.0,24.9501,0.5052761
335.0,19.0,33.901173,17.078672,39.95847,241.0,25.974026,0.42694348
340.0,22.0,29.679321,17.285479,41.422947,237.0,23.976025,0.44069648
345.0,25.0,27.885115,17.91261,41.100956,236.0,21.956087,0.3902189
350.0,26.0,24.938784,18.303253,41.623856,235.0,22.954092,0.49526846
355.0,24.0,24.11987,18.536839,40.445427,234.0,24.9501,0.38819182
360.0,23.0,23.257614,18.628302,40.06215,230.0,23.952095,0.38541168
365.0,19.0,21.834558,18.83065,38.366703,227.0,22.954092,0.25387335
370.0,23.0,23.155783,18.665823,38.295406,226.0,20.958084,0.32270694
375.0,26.0,22.683508,18.62339,37.63302,221.0,18.962076,0.27211416
380.0,32.0,23.107487,18.591173,37.878307,214.0,20.958084,0.3419786
